date_and_time,hexagon_center,num_bikes_avg
2020-10-07T16:35:02,"34.02126205040608,-118.49694190899979",78.66666666666667
2020-10-07T15:42:02,"33.993265423641105,-118.45052554533305",68.52380952380952
2020-10-07T16:21:02,"33.986266266949855,-118.45052554533305",78.95238095238095
2020-10-07T14:56:01,"34.10175235235539,-118.31901251494396",77.33333333333333
2020-10-07T16:28:02,"34.098252774009765,-118.31127645433284",76.52380952380952
2020-10-07T15:07:02,"34.05975741220792,-118.30354039372172",76.85714285714286
2020-10-07T16:35:02,"33.97926711025861,-118.4659976665553",68.23809523809524
2020-10-07T15:28:02,"34.05975741220792,-118.24165190883274",69.57142857142857
2020-10-07T14:42:02,"34.02126205040608,-118.48146978777754",69.66666666666667
2020-10-07T15:56:02,"34.09475319566415,-118.34995675738845",66.76190476190476
2020-10-07T14:35:02,"34.08425446062728,-118.34222069677733",65.28571428571429
2020-10-07T14:42:02,"34.06325699055355,-118.24938796944386",62.19047619047619
2020-10-07T16:35:02,"34.05275825551668,-118.27259615127723",60.61904761904762
2020-10-07T14:56:01,"34.04925867717105,-118.23391584822161",61.333333333333336
2020-10-07T16:35:02,"34.09125361731852,-118.34222069677733",57.285714285714285
2020-10-07T14:28:03,"34.05975741220792,-118.27259615127723",56.38095238095238
2020-10-07T16:07:01,"34.108751509046634,-118.33448463616621",54.0
2020-10-07T14:35:02,"33.993265423641105,-118.48146978777754",51.95238095238095
2020-10-07T15:28:02,"34.077255303936035,-118.35769281799958",50.0
2020-10-07T16:00:03,"34.05975741220792,-118.28806827249947",47.333333333333336
2020-10-07T14:42:02,"34.00376415867797,-118.47373372716642",48.80952380952381
2020-10-07T16:28:02,"34.06325699055355,-118.23391584822161",48.666666666666664
2020-10-07T14:49:02,"34.017762472060454,-118.50467796961091",47.61904761904762
2020-10-07T15:00:02,"34.09125361731852,-118.32674857555509",46.95238095238095
2020-10-07T14:49:02,"34.01076331536921,-118.47373372716642",47.0
2020-10-07T14:35:02,"34.06325699055355,-118.31127645433284",45.714285714285715
2020-10-07T15:07:02,"34.03526036378857,-118.23391584822161",45.095238095238095
2020-10-07T15:49:02,"34.09475319566415,-118.31901251494396",44.095238095238095
2020-10-07T16:42:02,"34.024761628751705,-118.48920584838866",42.333333333333336
2020-10-07T14:42:02,"34.05975741220792,-118.25712403005498",42.04761904761905
2020-10-07T14:28:03,"34.03526036378857,-118.48146978777754",43.0
2020-10-07T16:07:01,"33.74129578275631,-118.28033221188835",43.095238095238095
2020-10-07T16:42:02,"34.03875994213419,-118.47373372716642",42.42857142857143
2020-10-07T14:49:02,"34.03875994213419,-118.24165190883274",39.285714285714285
2020-10-07T14:49:02,"34.07025614724479,-118.35769281799958",40.476190476190474
2020-10-07T16:21:02,"34.056257833862304,-118.2958043331106",40.285714285714285
2020-10-07T16:14:02,"34.066756568899166,-118.24165190883274",40.142857142857146
2020-10-07T15:00:02,"34.00726373702359,-118.48146978777754",40.095238095238095
2020-10-07T16:42:02,"34.10525193070101,-118.31127645433284",34.42857142857143
2020-10-07T16:00:03,"34.16474476257659,-118.3654288786107",39.904761904761905
2020-10-07T14:49:02,"34.07025614724479,-118.2958043331106",36.142857142857146
2020-10-07T16:21:02,"33.996765001986724,-118.45826160594417",36.857142857142854
2020-10-07T14:49:02,"34.03875994213419,-118.27259615127723",36.095238095238095
2020-10-07T15:00:02,"34.04225952047981,-118.4659976665553",37.857142857142854
2020-10-07T16:28:02,"34.213738859415294,-118.58203857572214",39.0
2020-10-07T15:28:02,"34.066756568899166,-118.28806827249947",34.57142857142857
2020-10-07T15:56:02,"34.09125361731852,-118.31127645433284",36.714285714285715
2020-10-07T15:07:02,"34.07025614724479,-118.45052554533305",32.476190476190474
2020-10-07T15:14:02,"34.04925867717105,-118.28033221188835",34.38095238095238
2020-10-07T16:42:02,"34.10175235235539,-118.30354039372172",32.80952380952381
2020-10-07T15:14:02,"34.087754038972896,-118.3654288786107",32.523809523809526
